Name,Location,Salary,Description,desc_len,max_salary,min_salary,avg_salary
Haleon,Bengaluru,5 - 8 ,"This is very hands-on development role which includes developing & delivering code through from origin to production, plus working in partnership with 3rd party……",162,5,8,6.5
AIEnterprise,Bengaluru,5 - 8 ,"The ideal person will understand how to match our extensive service capabilities to prospective client needs. Research, design and prototype robust and scalable……",162,5,8,6.5
IBM,Pune,5 - 10 ,This job requires you to be fully COVID-19 vaccinated prior to your start date and proof of vaccination status will be required before your start date.…,152,5,10,7.5
KPMG,Bengaluru,5 - 7 ,"As a Pyspark Data Engineer, you will be responsible for designing, implementing, and maintaining data pipelines using Pyspark and other Big Data technologies.…",159,5,7,6.0
FODUU - Design & Development Company,Indore,4 - 8 ,"Data science and machine learning stack. The successful candidate will be responsible for developing and implementing machine learning models and algorithms,……",159,4,8,6.0
Tata Insights and Quants,Jamshedpur,2 - 5 ,"In order for the Tata companies to better understand customer and client needs and preferences, action life stages, needs, value, and potential, and enhance……",158,2,5,3.5
SymphonyAI,Bengaluru,7 - 10 ,"Experience with deploying solutions on cloud infrastructure (Azure, AWS, Google) will be an. 5+ years’ experience in AI / Machine Learning in an organization.…",159,7,10,8.5
SIGMOID,Bengaluru,8 - 9 ,Build scalable client engagement level processes for faster turnaround & higher accuracy. Experience designing data science solutions to business problems.…,156,8,9,8.5
qtech,Mumbai,2 - 7 ,"Experience with integration of data from multiple data sources. We are looking for a Big Data Engineer that will work on the collecting, storing, processing,……",159,2,7,4.5
NielsenIQ,Vadodara,6 - 7 ,Is Technically proficient and at the same time has an understanding on business implications and client understanding.…,119,6,7,6.5
Facile Services,Pune,5 - 10 ,Should have Basic knowledge of Python / Spark – Scala (Must have 1 year Experience OR Self Learnt with several assignments).…,125,5,10,7.5
Razor Group GmbH,Gurgaon,2 - 8 ,You design and implement the full Data Science life-cycle: work closely with internal and external stakeholders to build instrumentation and define dimensional……,161,2,8,5.0
"Medpace, Inc.",Thāne,2 - 8 ,Bachelor’s degree in life science/ pharmacy/ health related field with strong attention to detail and working knowledge of Excel and Word;…,139,2,8,5.0
HyreFox Consultants,Jaipur,8 - 12 ,"Articulating business questions and using mathematical techniques to arrive at an answer using available data. Work with large, complex data sets.…",147,8,12,10.0
Thoucentric,Bengaluru,8 ,"Building capabilities that address a market need, basis our ongoing research efforts. We are working closely with marquee names in the global consumer &……",154,8,8,8.0
Bytesfarms Technologies,Indore,4 - 16 ,"As a Machine Learning Engineer at *BytesFarms Technologies*, you will have a pivotal role in designing, developing, and deploying machine learning models and……",159,4,16,10.0
Criteo,Gurgaon,9 - 10 ,"Your work experience: 2+ years in an analytical role in Technology, Consulting or Financial business; bonus point if you have a good understanding of internet……",160,9,10,9.5
Nathan Research,Chennai,5 - 9 ,"Keeping track of the current state of data models, DB structures, data dictionaries business/user requests, prioritization of needs for new data entities,……",156,5,9,7.0
Smart Ship,Pune,3 - 8 ,"In this role, you will have an opportunity to work with vast amounts of meaningful data, made accessible through best-in-class analytical and Business……",152,3,8,5.5
Taiyo.Ai,Remote,5 - 7 ,"Initiative and Innovation: Proactive approach to identifying issues and presenting solutions, with an entrepreneurial spirit that thrives in creating innovative……",162,5,7,6.0
FIS Global,Bengaluru,6 - 10 ,Proficiency in solutions design and requirements. Knowledge of financial services industry. Use quantitative and statistical methods to extract data and……,154,6,10,8.0
Irdeto,New Delhi,6 - 8 ,"Work with enterprise architecture, data scientists, and data warehousing teams to set data strategy that supports Irdeto’s corporate strategy and objectives.…",158,6,8,7.0
Foraysoft,Gurgaon,5 - 8 ,Techno functional experience working with technical team (data engineering / data science) and the business (functional) teams.…,128,5,8,6.5
Roland Berger,Mumbai,6 - 9 ,"Further, you will apply your understanding of analytical methodologies and the related infrastructure requirements to continuously collaborate with our team of……",161,6,9,7.5
NeoQuant Solutions Pvt Ltd,Mumbai,4 - 16 ,"Expertise in working with data storage solutions like databases (SQL and NoSQL), data lakes, and cloud-based storage. Leadership and team management experience.…",161,4,16,10.0
